Name,CarLink,Time,PS,Weight_KG
BMW 135i Coupe (E82),https://fastestlaps.com/models/bmw-135i-coupe,106.0,306,1522
Kia Stinger GT,https://fastestlaps.com/models/kia-stinger-gt,106.16,370,1852
Nissan Nismo 370Z,https://fastestlaps.com/models/nissan-nismo-370z,106.5,355,1500
Bentley Continental GT Speed,https://fastestlaps.com/models/bentley-continental-gt-speed-2012,106.6,625,2336
Subaru WRX STI,https://fastestlaps.com/models/subaru-wrx-sti,107.16,309,1532
Porsche Cayman S (987),https://fastestlaps.com/models/porsche-cayman-s,107.58,295,1409
Mitsubishi Lancer Evo X MR,https://fastestlaps.com/models/mitsubishi-lancer-evo-x-mr,107.71,295,1605
Chevrolet Cobalt SS/TC,https://fastestlaps.com/models/chevrolet-cobalt-ss-tc,107.75,264,1352
Mitsubishi Lancer EVO IX,https://fastestlaps.com/models/mitsubishi-lancer-evo-ix,107.93,290,1481
Mazda MX-5 2.0 (Mk IV 184 PS),https://fastestlaps.com/models/mazda-mx-5-2-0,108.47,184,1067
Tesla Model S P85,https://fastestlaps.com/models/tesla-model-s-p85,108.92,422,2137
BMW 335i Coupe,https://fastestlaps.com/models/bmw-335i-coupe,109.04,306,1610
Ford Focus ST,https://fastestlaps.com/models/ford-focus-st-2012,109.3,250,1448
Porsche 911 Carrera S (997),https://fastestlaps.com/models/porsche-911-carrera-s,110.0,355,1470
VW Golf GTI (Mk VII 220 PS),https://fastestlaps.com/models/vw-golf-gti-mk-vii-220-ps,110.11,220,1372
Porsche Boxster (986 220 PS),https://fastestlaps.com/models/porsche-boxster-986-220-ps,110.21,220,1353
Mazda 3 MPS,https://fastestlaps.com/models/mazda-3-mps,110.37,260,1450
Mazda RX-8,https://fastestlaps.com/models/mazda-rx-8,110.42,231,1386
Mazda MX-5 2.0 (Mk IV),https://fastestlaps.com/models/mazda-mx-5-2015,110.68,157,1061
Honda S2000 (AP1),https://fastestlaps.com/models/honda-s2000,110.74,239,1265
BMW Z3 3.0i,https://fastestlaps.com/models/bmw-z3-3-0i,110.8,231,1330
Ford Fiesta ST,https://fastestlaps.com/models/ford-fiesta-st-2013,111.25,180,1212
Subaru BRZ,https://fastestlaps.com/models/subaru-brz,111.3,200,1251
Mini Cooper S Works GP Kit,https://fastestlaps.com/models/mini-mini-cooper-s-works-gp-kit,111.73,218,1180
Porsche 911 Carrera (997),https://fastestlaps.com/models/porsche-911-carrera-997,111.8,325,1449
Mini Cooper S (Mk II),https://fastestlaps.com/models/mini-cooper-s-mk-ii,111.98,174,1207
Aston Martin V8 Vantage,https://fastestlaps.com/models/aston-martin-v8-vantage,112.2,385,1633
Mazda MX-5 Grand Touring,https://fastestlaps.com/models/mazda-mx-5-grand-touring,112.2,169,1150
Cadillac CTS-V (MK I),https://fastestlaps.com/models/cadillac-cts-v-mk-i,113.0,406,1738
Chevrolet Corvette C5 Z06,https://fastestlaps.com/models/chevrolet-corvette-c5-z06,113.73,411,1418
Porsche 911 Carrera,https://fastestlaps.com/models/porsche-911-carrera-996-996-facelift,114.22,320,1414
BMW M4 Convertible,https://fastestlaps.com/models/bmw-m4-convertible,114.23,431,1846
Honda NSX-R (facelift),https://fastestlaps.com/models/honda-nsx-r,114.74,294,1270
Honda Civic SI,https://fastestlaps.com/models/honda-civic-si,114.99,197,1330
Honda NSX (facelift),https://fastestlaps.com/models/honda-nsx,117.0,290,1368
Porsche Boxster S (981),https://fastestlaps.com/models/porsche-boxster-s-981,119.01,315,1400
Chevrolet Camaro Z28,https://fastestlaps.com/models/chevrolet-camaro-z28-82,125.8,193,1448
Ford Mustang GT,https://fastestlaps.com/models/ford-mustang-gt-1982,129.9,159,1422
Kia Soul Sport 2.0,https://fastestlaps.com/models/kia-soul-sport-2-0,132.67,144,1320
